Item;Condition;ID;MD5 hash of participant's IP address;Original_Value;Changed_Value;IsQuestionable;Discussion_ML;Discussion_TL;Discussion_BD
;B;10581;64e64662aa8b1a57c3e5254b48652bcc;listen to the command;comply;FALSE;maybe?;comply;listen
;B;13047;8e6ad748c0685eaeffbadbae0050306d;obey;comply;FALSE;;comply;/
;B;14682;46c4212ded545ed717b0ff376752ae11;follow the order;comply;FALSE;;comply;follow
;B;16324;9f8736428d68ef86c654e1f0f0b1058e;deploy;;FALSE;;;/
;C;1055;2817aa3ba5ce3496c4222adb7a6aa37c;return to post.;return;FALSE;;return;return
;C;6784;83d8403f227baca0464166c404dc0dc2;prepare to be deployed;deploy;FALSE;;prepare;deploy
;C;11708;14399e53229004f2c85ec3810d5cf776;Had to hurry up and get to grounds;return;FALSE;;hurry;hurry
;D;2695;9a8edf1b84fcdd4e9692881d31a5a26e;report to duty;;FALSE;;;report
;D;4330;559a558cc071b904f807f21b428370da;mentally prepare and ready himself for eventual combat.;get ready for combat;FALSE;;prepare;prepare
;D;8414;6df37ff0405e34325f86235ab8e45b66;start packing;;FALSE;;pack;pack
;D;9232;3028e7887ad94e66d4f5fe907c30cc88;when the order was given;;TRUE;;;/
16;A;1709;2b7058890eefa22341aa295a036985a9;brake;;FALSE;;;/
;A;3353;58538dcb3f84e420200c601a4903dbef;look back;;FALSE;;;/
;A;7438;61f3559549de508d322e493e3c8fe90c;when he as approaching the station%2C the driver in the driver's seat;;TRUE;;;/
;A;9888;64e64662aa8b1a57c3e5254b48652bcc;break;brake;FALSE;;brake;/
;A;12364;8e6ad748c0685eaeffbadbae0050306d;stop;;FALSE;;;/
;A;13997;46c4212ded545ed717b0ff376752ae11;stop;;FALSE;;;/
;A;15636;9f8736428d68ef86c654e1f0f0b1058e;stop;;FALSE;;;/
;B;897;2817aa3ba5ce3496c4222adb7a6aa37c;pull over. ;;FALSE;;;/
;B;6626;83d8403f227baca0464166c404dc0dc2;slow down;;FALSE;;;/
;B;11550;14399e53229004f2c85ec3810d5cf776;Stop for passengers to hop into the bus;stop;FALSE;;stop;stop
;C;2502;9a8edf1b84fcdd4e9692881d31a5a26e;get back on the crowded bus.;get back on the bus.;FALSE;;get back on;get back
;C;4137;559a558cc071b904f807f21b428370da;stop quickly;;FALSE;;stop;stop
;C;8221;6df37ff0405e34325f86235ab8e45b66;slow down;;FALSE;;;slow
;C;9038;3028e7887ad94e66d4f5fe907c30cc88;when it was approaching the finally destination.;;TRUE;;;/
;D;818;b8b10c5c32c46a8f278dc868ef65fd9d;grabbed;;TRUE;?;grab;/
;D;5729;38515a2d399231bb4340622c162d7b1a;final;;TRUE;?;;/
;D;6548;bac07a9a07d31bd971ed4288f10499d6;get out of the way;;FALSE;;;/
;D;11471;4f1511992b86c3d28f958bcbf4d56511;The driver on the sidewalk%2C as he approached the final station had to;;TRUE;;;/
;D;13924;773048bc5ea832a6a6fb93f6da578bc6;move;;FALSE;;;/
;D;15563;bc3b5c51f98f643be9a99134572a2170;get off;;FALSE;;;/
17;A;1573;2817aa3ba5ce3496c4222adb7a6aa37c;relax.;;FALSE;;relax;/
;A;7302;83d8403f227baca0464166c404dc0dc2;go to sleep;sleep;FALSE;;go to sleep;sleep
;A;12228;14399e53229004f2c85ec3810d5cf776;Check up on the husband;;FALSE;;check up;check
;B;3185;9a8edf1b84fcdd4e9692881d31a5a26e;relax after a hectic week;relax;FALSE;;relax;relax
;B;4818;559a558cc071b904f807f21b428370da;go to sleep.;sleep;FALSE;;go to sleep;sleep
;B;8903;6df37ff0405e34325f86235ab8e45b66;hurry;;FALSE;;;/
;B;9720;3028e7887ad94e66d4f5fe907c30cc88;since it was very late;;TRUE;;;/
;C;29;b8b10c5c32c46a8f278dc868ef65fd9d;leave;;FALSE;;;/
;C;4953;38515a2d399231bb4340622c162d7b1a;park;;FALSE;;;/
;C;5769;bac07a9a07d31bd971ed4288f10499d6;head home;go home;FALSE;;;go
;C;10683;4f1511992b86c3d28f958bcbf4d56511;Sense it was very late%2C the women in the park decided to;;TRUE;;;/
;C;13147;773048bc5ea832a6a6fb93f6da578bc6;close;;FALSE;;;/
;C;14782;bc3b5c51f98f643be9a99134572a2170;go home;;FALSE;;head home;go
;D;2018;2b7058890eefa22341aa295a036985a9;run;leave;FALSE;maybe?;;/
;D;3659;58538dcb3f84e420200c601a4903dbef;think of ways;;TRUE;;;think
;D;7744;61f3559549de508d322e493e3c8fe90c;The woman in the;;TRUE;;;/
;D;10202;64e64662aa8b1a57c3e5254b48652bcc;leave;;FALSE;;;/
;D;12670;8e6ad748c0685eaeffbadbae0050306d;skip;;FALSE;?;;/
;D;14305;46c4212ded545ed717b0ff376752ae11;shorten time at park;;TRUE;;;shorten
;D;15945;9f8736428d68ef86c654e1f0f0b1058e;go home;;FALSE;;;go
18;A;2873;9a8edf1b84fcdd4e9692881d31a5a26e;hydrate and relax;;FALSE;;;relax
;A;4507;559a558cc071b904f807f21b428370da;train harder than usual.;train;FALSE;;train;train
;A;8591;6df37ff0405e34325f86235ab8e45b66;train;;FALSE;;;/
;A;9409;3028e7887ad94e66d4f5fe907c30cc88;because he was preparing for a competition;;TRUE;;;/
;B;407;b8b10c5c32c46a8f278dc868ef65fd9d;exercise;train;FALSE;;train;/
;B;5323;38515a2d399231bb4340622c162d7b1a;gym;;FALSE;;train;/
;B;6140;bac07a9a07d31bd971ed4288f10499d6;get going before it's too late;train;FALSE;maybe?;go;go
;B;11057;4f1511992b86c3d28f958bcbf4d56511;The runner in the ?? was preparing for the competition had to ;;TRUE;;;/
;B;13518;773048bc5ea832a6a6fb93f6da578bc6;begin;;FALSE;;;/
;B;15155;bc3b5c51f98f643be9a99134572a2170;start practicing;begin;FALSE;;;practice
;C;2049;2b7058890eefa22341aa295a036985a9;prepare;;FALSE;;prepare;/
;C;3690;58538dcb3f84e420200c601a4903dbef;stretch;;FALSE;;stretch;/
;C;7775;61f3559549de508d322e493e3c8fe90c;Because he was preparing for a competition;;TRUE;;;/
;C;10233;64e64662aa8b1a57c3e5254b48652bcc;exit;leave;FALSE;maybe?;;/
;C;12701;8e6ad748c0685eaeffbadbae0050306d;eat;;FALSE;;;/
;C;14336;46c4212ded545ed717b0ff376752ae11;eat healthy meal;eat;FALSE;;eat;eat
;C;15977;9f8736428d68ef86c654e1f0f0b1058e;eat healthy;eat;FALSE;;eat;eat
;D;1460;2817aa3ba5ce3496c4222adb7a6aa37c;prepare a healthy meal.;cook;FALSE;maybe?;;prepare
;D;7189;83d8403f227baca0464166c404dc0dc2;eat and get hydrated;eat;FALSE;maybe?;eat;eat
;D;12115;14399e53229004f2c85ec3810d5cf776;Win;;FALSE;;;/
19;A;367;b8b10c5c32c46a8f278dc868ef65fd9d;perform;;FALSE;;;/
;A;5285;38515a2d399231bb4340622c162d7b1a;stage;perform;FALSE;maybe?;;/
;A;6102;bac07a9a07d31bd971ed4288f10499d6;project ;perform;FALSE;;;/
;A;11019;4f1511992b86c3d28f958bcbf4d56511;s the musical started%2C the actor on the stage had to;;TRUE;;;/
;A;13480;773048bc5ea832a6a6fb93f6da578bc6;act;perform;FALSE;;;/
;A;15117;bc3b5c51f98f643be9a99134572a2170;act;perform;FALSE;;;/
;B;2060;2b7058890eefa22341aa295a036985a9;perform;;FALSE;;;/
;B;3701;58538dcb3f84e420200c601a4903dbef;get ready for the show;get ready;FALSE;;get ready;prepare
;B;7786;61f3559549de508d322e493e3c8fe90c;The actor on the stage as the musician;;TRUE;;;/
;B;10244;64e64662aa8b1a57c3e5254b48652bcc;sit down;;FALSE;;;sit
;B;12712;8e6ad748c0685eaeffbadbae0050306d;dance;;FALSE;;;/
;B;14347;46c4212ded545ed717b0ff376752ae11;begin performing;perform;FALSE;;perform;perform
;B;15988;9f8736428d68ef86c654e1f0f0b1058e;get into character;perform;FALSE;;get into character;get
;C;1122;2817aa3ba5ce3496c4222adb7a6aa37c;walk back to his seat.;sit down;FALSE;maybe?;;walk
;C;6851;83d8403f227baca0464166c404dc0dc2;get in the zone;;FALSE;what do they mean with that?;get into character;get
;C;11775;14399e53229004f2c85ec3810d5cf776;Hurry up;;FALSE;;;hurry
;D;2746;9a8edf1b84fcdd4e9692881d31a5a26e;go to the stage;;FALSE;;go;go
;D;4381;559a558cc071b904f807f21b428370da;calm their nerves before performing.;calm down;FALSE;;calm down;calm
;D;8465;6df37ff0405e34325f86235ab8e45b66;get ready;;FALSE;;;prepare
;D;9283;3028e7887ad94e66d4f5fe907c30cc88;musical concert started;;TRUE;;;/
20;A;1656;2b7058890eefa22341aa295a036985a9;cook;;FALSE;;;/
;A;3300;58538dcb3f84e420200c601a4903dbef;make up his order;prepare it;TRUE;;make it;make up
;A;7384;61f3559549de508d322e493e3c8fe90c;Because a customer order for%2C the chef in the kitchen have to;;TRUE;;;/
;A;9835;64e64662aa8b1a57c3e5254b48652bcc;wake;;FALSE;;;/
;A;12310;8e6ad748c0685eaeffbadbae0050306d;cook;;FALSE;;;/
;A;13944;46c4212ded545ed717b0ff376752ae11;cook;;FALSE;;;/
;A;15583;9f8736428d68ef86c654e1f0f0b1058e;prepare it;;FALSE;;prepare;prepare
;B;1323;2817aa3ba5ce3496c4222adb7a6aa37c;begin to make the dish.;cook;FALSE;maybe?;make it;cook
;B;7052;83d8403f227baca0464166c404dc0dc2;prepare the food;prepare it;FALSE;;cook;cook
;B;11978;14399e53229004f2c85ec3810d5cf776;Get it done;prepare it;FALSE;;make it;finish
;C;2944;9a8edf1b84fcdd4e9692881d31a5a26e;be prepared for the full restaurant;get ready;FALSE;;get ready;prepare
;C;4578;559a558cc071b904f807f21b428370da;go into the restaurant to start cooking the customer's order.;;FALSE;;;/
;C;8662;6df37ff0405e34325f86235ab8e45b66;hurry;;FALSE;;;/
;C;9480;3028e7887ad94e66d4f5fe907c30cc88;a customer has ordered something;;TRUE;;;/
;D;209;b8b10c5c32c46a8f278dc868ef65fd9d;fallen;;TRUE;?;;/
;D;5128;38515a2d399231bb4340622c162d7b1a;chef;;TRUE;?;chef;/
;D;5945;bac07a9a07d31bd971ed4288f10499d6;rush back in and fix the order;;FALSE;;hurry;return
;D;10860;4f1511992b86c3d28f958bcbf4d56511;The chef in the car%2C sense the customer had ordered something had to  ;;TRUE;;;/
;D;13323;773048bc5ea832a6a6fb93f6da578bc6;deliver;;FALSE;;deliver it;/
;D;14958;bc3b5c51f98f643be9a99134572a2170;take it to them;deliver;FALSE;;deliver it;take
21;A;1562;2817aa3ba5ce3496c4222adb7a6aa37c;read the speak aloud.;speak;FALSE;;read the speech;read
;A;7291;83d8403f227baca0464166c404dc0dc2;speak;;FALSE;;;/
;A;12217;14399e53229004f2c85ec3810d5cf776;Give his speech;speak;FALSE;;read the speech;speak
;B;3116;9a8edf1b84fcdd4e9692881d31a5a26e;prepare for the conference meetings;;FALSE;;prepare;prepare
;B;4749;559a558cc071b904f807f21b428370da;speak.;;FALSE;;speak;/
;B;8834;6df37ff0405e34325f86235ab8e45b66;speak;;FALSE;;speak;/
;B;9651;3028e7887ad94e66d4f5fe907c30cc88;everyone was quite;;TRUE;;;/
;C;523;b8b10c5c32c46a8f278dc868ef65fd9d;inform;;FALSE;;;/
;C;5438;38515a2d399231bb4340622c162d7b1a;speaker;speak;TRUE;;speak;/
;C;6256;bac07a9a07d31bd971ed4288f10499d6;run;;FALSE;;;/
;C;11175;4f1511992b86c3d28f958bcbf4d56511;Once everyone was quiet%2C the speaker on the train had to;;TRUE;;;/
;C;13633;773048bc5ea832a6a6fb93f6da578bc6;talk;speak;FALSE;;speak;/
;C;15271;bc3b5c51f98f643be9a99134572a2170;talk;speak;FALSE;;speak;/
;D;1718;2b7058890eefa22341aa295a036985a9;yell;;FALSE;;yell;/
;D;3362;58538dcb3f84e420200c601a4903dbef;speak;;FALSE;;speak;/
;D;7447;61f3559549de508d322e493e3c8fe90c;The speaker on the train was when everyone was quiet;;TRUE;;;/
;D;9898;64e64662aa8b1a57c3e5254b48652bcc;give his speech;speak;FALSE;;read the speech;speak
;D;12373;8e6ad748c0685eaeffbadbae0050306d;play;;FALSE;;play;/
;D;14007;46c4212ded545ed717b0ff376752ae11;speak;;FALSE;;speak;/
;D;15645;9f8736428d68ef86c654e1f0f0b1058e;introduce themselves;;FALSE;;introduce themselves;introduce
22;A;2893;9a8edf1b84fcdd4e9692881d31a5a26e;write several articles before the deadline;write;FALSE;;write;write
;A;4527;559a558cc071b904f807f21b428370da;focus hard and try to write quickly and well.;write;FALSE;;focus;write
;A;8611;6df37ff0405e34325f86235ab8e45b66;submit the article;submit;FALSE;;submit;submit
;A;9429;3028e7887ad94e66d4f5fe907c30cc88;because the deadline was approaching;;TRUE;;;/
;B;749;b8b10c5c32c46a8f278dc868ef65fd9d;grimace;;FALSE;really why?;;/
;B;5660;38515a2d399231bb4340622c162d7b1a;had;;TRUE;;;/
;B;6479;bac07a9a07d31bd971ed4288f10499d6;stay focused and finish;;FALSE;;focus;focus
;B;11402;4f1511992b86c3d28f958bcbf4d56511;The;;TRUE;;;/
;B;13855;773048bc5ea832a6a6fb93f6da578bc6;of the project;;TRUE;;;/
;B;15493;bc3b5c51f98f643be9a99134572a2170;rush;;FALSE;;;/
;C;2383;2b7058890eefa22341aa295a036985a9;rush;;FALSE;;;/
;C;4019;58538dcb3f84e420200c601a4903dbef;finish fast;rush;FALSE;;finish;hurry
;C;8103;61f3559549de508d322e493e3c8fe90c;Because the deadline was approaching;;TRUE;;;/
;C;10563;64e64662aa8b1a57c3e5254b48652bcc;pause for a moment;pause;FALSE;;pause;pause
;C;13029;8e6ad748c0685eaeffbadbae0050306d;hurry;rush;FALSE;;hurry;/
;C;14664;46c4212ded545ed717b0ff376752ae11;leave the car and perform requirements;;FALSE;;;leave
;C;16306;9f8736428d68ef86c654e1f0f0b1058e;hurry up;rush;FALSE;;hurry;hurry
;D;1111;2817aa3ba5ce3496c4222adb7a6aa37c;rush to finish.;rush;FALSE;;hurry;rush
;D;6840;83d8403f227baca0464166c404dc0dc2;finish writing quickly;finish quickly;FALSE;;finish;write
;D;11764;14399e53229004f2c85ec3810d5cf776;Finish it up before the time is up;finish quickly;FALSE;;finish;finish
23;A;231;b8b10c5c32c46a8f278dc868ef65fd9d;cook;;FALSE;;;/
;A;5150;38515a2d399231bb4340622c162d7b1a;family;;TRUE;;;/
;A;5967;bac07a9a07d31bd971ed4288f10499d6;swim and cook;;FALSE;;;swim
;A;10883;4f1511992b86c3d28f958bcbf4d56511;s they set up the camp%2C the family at the lake prepared to;;TRUE;;;/
;A;13345;773048bc5ea832a6a6fb93f6da578bc6;duty;;TRUE;?;;/
;A;14980;bc3b5c51f98f643be9a99134572a2170;go in the water;go swimming;FALSE;maybe?;swim;swim
;B;1782;2b7058890eefa22341aa295a036985a9;cook;;FALSE;;;/
;B;3426;58538dcb3f84e420200c601a4903dbef;take out their tent;;FALSE;;;be out
;B;7511;61f3559549de508d322e493e3c8fe90c;The family at the lake ;;TRUE;;;/
;B;9963;64e64662aa8b1a57c3e5254b48652bcc;settle;;FALSE;;;/
;B;12437;8e6ad748c0685eaeffbadbae0050306d;cook;;FALSE;;;/
;B;14071;46c4212ded545ed717b0ff376752ae11;relax.;;FALSE;;relax;/
;B;15710;9f8736428d68ef86c654e1f0f0b1058e;go swimming;;FALSE;;swim;swim
;C;1026;2817aa3ba5ce3496c4222adb7a6aa37c;make a fire to cook food. ;make fire to cook;FALSE;;;cook
;C;6755;83d8403f227baca0464166c404dc0dc2;roast marshmallows;make fire to cook;FALSE;;;roast
;C;11679;14399e53229004f2c85ec3810d5cf776;Play games;;FALSE;;;play
;D;3207;9a8edf1b84fcdd4e9692881d31a5a26e;get ready for camping;;FALSE;;get ready;get ready
;D;4840;559a558cc071b904f807f21b428370da;go to sleep for the night.;sleep;FALSE;;sleep;sleep
;D;8925;6df37ff0405e34325f86235ab8e45b66;cook;;FALSE;;;cook
;D;9742;3028e7887ad94e66d4f5fe907c30cc88;in the tent;;TRUE;;;/
24;A;1998;2b7058890eefa22341aa295a036985a9;rush;hurry;FALSE;;hurry;/
;A;3639;58538dcb3f84e420200c601a4903dbef;place it by the steps;;FALSE;;;place
;A;7724;61f3559549de508d322e493e3c8fe90c;Because he is in a rush;;TRUE;;;/
;A;10182;64e64662aa8b1a57c3e5254b48652bcc;hurry up;hurry;FALSE;;hurry;hurry
;A;12650;8e6ad748c0685eaeffbadbae0050306d;hurry;;FALSE;;;/
;A;14285;46c4212ded545ed717b0ff376752ae11;carry multiple packages at a time;;FALSE;;;carry
;A;15925;9f8736428d68ef86c654e1f0f0b1058e;hurry;;FALSE;;;/
;B;866;2817aa3ba5ce3496c4222adb7a6aa37c;hand the packages over. ;deliver;FALSE;;deliver;hand over
;B;6595;83d8403f227baca0464166c404dc0dc2;run;hurry;FALSE;;;/
;B;11519;14399e53229004f2c85ec3810d5cf776;To go and do the delivery;deliver;FALSE;;deliver;deliver
;C;2520;9a8edf1b84fcdd4e9692881d31a5a26e;be delivered urgently;deliver;TRUE;;deliver ;deliver
;C;4155;559a558cc071b904f807f21b428370da;hurry;;FALSE;;;/
;C;8239;6df37ff0405e34325f86235ab8e45b66;hurry;;FALSE;;;/
;C;9056;3028e7887ad94e66d4f5fe907c30cc88;because he was in a rush;;TRUE;;;/
;D;7;b8b10c5c32c46a8f278dc868ef65fd9d;drive;;FALSE;;;/
;D;4931;38515a2d399231bb4340622c162d7b1a;gym;;FALSE;;;/
;D;5747;bac07a9a07d31bd971ed4288f10499d6;get out quickly;leave;FALSE;;leave;leave
;D;10661;4f1511992b86c3d28f958bcbf4d56511;The delivery man in the gym%2C because he was in a rush had to;;TRUE;;;/
;D;13125;773048bc5ea832a6a6fb93f6da578bc6;be fast;hurry;FALSE;;hurry;/
;D;14760;bc3b5c51f98f643be9a99134572a2170;leave;;FALSE;;;/
25;A;1239;2817aa3ba5ce3496c4222adb7a6aa37c;rush to make the transcript.;work on it fast;FALSE;;rush;rush
;A;6968;83d8403f227baca0464166c404dc0dc2;write one up;write;FALSE;;write;write
;A;11892;14399e53229004f2c85ec3810d5cf776;Get new traniees;;FALSE;;get new trainees;get
;B;2615;9a8edf1b84fcdd4e9692881d31a5a26e;open the office at 9am.;;TRUE;;;/
;B;4250;559a558cc071b904f807f21b428370da;begin working quickly on the transcription task.;work on it fast;FALSE;;work;working
;B;8334;6df37ff0405e34325f86235ab8e45b66;type;;FALSE;;;/
;B;9151;3028e7887ad94e66d4f5fe907c30cc88;because a transcript was needed urgently;;TRUE;;;/
;C;449;b8b10c5c32c46a8f278dc868ef65fd9d;leave;;FALSE;;;/
;C;5365;38515a2d399231bb4340622c162d7b1a;trainee;;TRUE;;;/
;C;6183;bac07a9a07d31bd971ed4288f10499d6;finish quickly;;FALSE;;finish;finish
;C;11100;4f1511992b86c3d28f958bcbf4d56511;Sense the transcript was needed urgently%2C the trainee in the ?? had too;;TRUE;;;sense
;C;13560;773048bc5ea832a6a6fb93f6da578bc6;finish early;finish quickly;FALSE;;finish;finish
;C;15197;bc3b5c51f98f643be9a99134572a2170;write them;;FALSE;;write;write
;D;1877;2b7058890eefa22341aa295a036985a9;dash;finish quickly;FALSE;maybe?;;/
;D;3519;58538dcb3f84e420200c601a4903dbef;finish the documents;finish;FALSE;;finish;finish
;D;7604;61f3559549de508d322e493e3c8fe90c;The trainee at the shop;;TRUE;;;/
;D;10058;64e64662aa8b1a57c3e5254b48652bcc;go find one;;FALSE;;;go
;D;12530;8e6ad748c0685eaeffbadbae0050306d;rush;;FALSE;;;/
;D;14164;46c4212ded545ed717b0ff376752ae11;create and deliver it.;;FALSE;;;deliver
;D;15803;9f8736428d68ef86c654e1f0f0b1058e;finish lunch;;FALSE;;;eat
26;A;2604;9a8edf1b84fcdd4e9692881d31a5a26e;be prepared for surgery;get ready;FALSE;;get ready;prepare
;A;4239;559a558cc071b904f807f21b428370da;scrub in and assist in prepping for the surgery.;get ready and assist;FALSE;maybe?;get ready;assist
;A;8323;6df37ff0405e34325f86235ab8e45b66;wash his hands;get ready;FALSE;;;wash
;A;9140;3028e7887ad94e66d4f5fe907c30cc88;because a patient needs brain surgery;;TRUE;;;/
;B;492;b8b10c5c32c46a8f278dc868ef65fd9d;me;;TRUE;;;/
;B;5407;38515a2d399231bb4340622c162d7b1a;brain;;TRUE;;;/
;B;6225;bac07a9a07d31bd971ed4288f10499d6;focus and be very careful;focus;FALSE;;focus;focus
;B;11142;4f1511992b86c3d28f958bcbf4d56511;The surgeon in the operating room%2C must;;TRUE;;;/
;B;13602;773048bc5ea832a6a6fb93f6da578bc6;change shifts;;FALSE;;;change
;B;15240;bc3b5c51f98f643be9a99134572a2170;assist;;FALSE;;;/
;C;2471;2b7058890eefa22341aa295a036985a9;come;;FALSE;;;/
;C;4106;58538dcb3f84e420200c601a4903dbef;put on his gloves and get prepared;get ready;FALSE;;get ready;prepare
;C;8190;61f3559549de508d322e493e3c8fe90c;Because a patient need head surgery;;TRUE;;;/
;C;10651;64e64662aa8b1a57c3e5254b48652bcc;be patient;;FALSE;;;/
;C;13116;8e6ad748c0685eaeffbadbae0050306d;decline;;FALSE;;;/
;C;14751;46c4212ded545ed717b0ff376752ae11;call another doctor to support;;FALSE;;;call
;C;16393;9f8736428d68ef86c654e1f0f0b1058e;not do surgery;decline;FALSE;;decline;decline
;D;1334;2817aa3ba5ce3496c4222adb7a6aa37c;call and tell them to find someone else to do the surgery because he was probably drinking while in the pub.;decline;FALSE;;call;call
;D;7063;83d8403f227baca0464166c404dc0dc2;call into work as they have been drinking;decline;FALSE;;call;call
;D;11989;14399e53229004f2c85ec3810d5cf776;Hurry up and to the hospital;hurry up;FALSE;;hurry;hurry
27;A;481;b8b10c5c32c46a8f278dc868ef65fd9d;wait;;FALSE;;;/
;A;5396;38515a2d399231bb4340622c162d7b1a;back;;TRUE;;;/
;A;6214;bac07a9a07d31bd971ed4288f10499d6;be as patient as possible;wait;FALSE;maybe?;be patient;be patient
;A;11131;4f1511992b86c3d28f958bcbf4d56511;Sense there was a long line%2C the patient in the back had to;;TRUE;;;/
;A;13591;773048bc5ea832a6a6fb93f6da578bc6;wait more;wait;FALSE;;wait;wait
;A;15229;bc3b5c51f98f643be9a99134572a2170;wait a long time;wait;FALSE;;wait;wait
;B;1814;2b7058890eefa22341aa295a036985a9;rest;;FALSE;;;rest
;B;3457;58538dcb3f84e420200c601a4903dbef;get him first;;FALSE;;;get
;B;7542;61f3559549de508d322e493e3c8fe90c;The patient at the back%2C because there was a;;TRUE;;;/
;B;9994;64e64662aa8b1a57c3e5254b48652bcc;cut the line;;FALSE;;cut the line;cut
;B;12468;8e6ad748c0685eaeffbadbae0050306d;wait;;FALSE;;wait;wait
;B;14102;46c4212ded545ed717b0ff376752ae11;wait.;;FALSE;;wait;wait
;B;15741;9f8736428d68ef86c654e1f0f0b1058e;wait patiently;wait;FALSE;;wait;wait
;C;1440;2817aa3ba5ce3496c4222adb7a6aa37c;wait their turn.;wait;FALSE;;wait;wait
;C;7169;83d8403f227baca0464166c404dc0dc2;get to the hospital before the line got longer;rush;FALSE;;rush;go
;C;12095;14399e53229004f2c85ec3810d5cf776;Come to the hospital;;FALSE;;come;come
;D;3007;9a8edf1b84fcdd4e9692881d31a5a26e;call the doctor instead;call the doctor;FALSE;;call;call
;D;4640;559a558cc071b904f807f21b428370da;give up their appointment%2C because they were not willing to wait at the clinic for their appointment time like all the other patients are doing.;cancel the appointment;FALSE;;give up;give up
;D;8724;6df37ff0405e34325f86235ab8e45b66;wait;;FALSE;;wait;wait
;D;9542;3028e7887ad94e66d4f5fe907c30cc88;in a long line;;TRUE;;;/
28;A;1678;2b7058890eefa22341aa295a036985a9;knit;;FALSE;;;/
;A;3322;58538dcb3f84e420200c601a4903dbef;knit;;FALSE;;;/
;A;7407;61f3559549de508d322e493e3c8fe90c;since she wanted to make them a sweater%2C the grandmother in the sitting room is;;TRUE;;;/
;A;9857;64e64662aa8b1a57c3e5254b48652bcc;get ready;;FALSE;;;/
;A;12333;8e6ad748c0685eaeffbadbae0050306d;knit;;FALSE;;;/
;A;13966;46c4212ded545ed717b0ff376752ae11;knit;;FALSE;;;/
;A;15605;9f8736428d68ef86c654e1f0f0b1058e;knit;;FALSE;;;/
;B;1533;2817aa3ba5ce3496c4222adb7a6aa37c;knit.;;FALSE;;;/
;B;7262;83d8403f227baca0464166c404dc0dc2;knit;;FALSE;;;/
;B;12188;14399e53229004f2c85ec3810d5cf776;Sow;knit;FALSE;;knit;sow
;C;2562;9a8edf1b84fcdd4e9692881d31a5a26e;worry the kids needed clothes for the winter.;;FALSE;;worry;worry
;C;4197;559a558cc071b904f807f21b428370da;look for yarn to buy;buy yarn;FALSE;;buy yarn;buy
;C;8281;6df37ff0405e34325f86235ab8e45b66;buy yarn;;FALSE;;;buy
;C;9098;3028e7887ad94e66d4f5fe907c30cc88;to make them a sweater;make a sweater;FALSE;;make a sweater;make
;D;568;b8b10c5c32c46a8f278dc868ef65fd9d;meet;;FALSE;;;/
;D;5482;38515a2d399231bb4340622c162d7b1a;sweater;;TRUE;;;/
;D;6300;bac07a9a07d31bd971ed4288f10499d6;peruse the yarn section ;buy yarn;FALSE;;buy yarn;/
;D;11219;4f1511992b86c3d28f958bcbf4d56511;The grandmother in the store%2C sense she wanted to make them a sweater started to ;;TRUE;;;/
;D;13677;773048bc5ea832a6a6fb93f6da578bc6;weave;;FALSE;;knit ;/
;D;15315;bc3b5c51f98f643be9a99134572a2170;knit;;FALSE;;;/
29;A;1398;2817aa3ba5ce3496c4222adb7a6aa37c;take a statement.;;FALSE;;;state
;A;7127;83d8403f227baca0464166c404dc0dc2;take a description;take a statement.;FALSE;;take a statement;descibe
;A;12053;14399e53229004f2c85ec3810d5cf776;Investigate;;FALSE;;;/
;B;2715;9a8edf1b84fcdd4e9692881d31a5a26e;call 911;;FALSE;;;call
;B;4350;559a558cc071b904f807f21b428370da;go back to the station to make a report about the crime.;make a report;FALSE;;go back;return
;B;8434;6df37ff0405e34325f86235ab8e45b66;fill out reports;make a report;FALSE;;write a report;fill
;B;9252;3028e7887ad94e66d4f5fe907c30cc88;since the burglar escaped before the police came;;TRUE;;;/
;C;535;b8b10c5c32c46a8f278dc868ef65fd9d;begin;;FALSE;;;/
;C;5449;38515a2d399231bb4340622c162d7b1a;police;;FALSE;;;/
;C;6267;bac07a9a07d31bd971ed4288f10499d6;leave immediately;;FALSE;;leave;leave
;C;11186;4f1511992b86c3d28f958bcbf4d56511;Sense the burglar escaped before the officer arrived%2C the police man in the coffee shop has to;;TRUE;;;/
;C;13644;773048bc5ea832a6a6fb93f6da578bc6;arrived;;TRUE;;arrive;arrive
;C;15282;bc3b5c51f98f643be9a99134572a2170;get statements;;FALSE;;take a statement;state
;D;1751;2b7058890eefa22341aa295a036985a9;find;find him;FALSE;;find him;/
;D;3395;58538dcb3f84e420200c601a4903dbef;be looking for him;find him;FALSE;;look for him;look for
;D;7480;61f3559549de508d322e493e3c8fe90c;The police officer in the coffee shop%2C since the burglar escape from the police;;TRUE;;;/
;D;9932;64e64662aa8b1a57c3e5254b48652bcc;be lazy;;FALSE;;;/
;D;12406;8e6ad748c0685eaeffbadbae0050306d;resign;;FALSE;;;/
;D;14040;46c4212ded545ed717b0ff376752ae11;call for help;;FALSE;;;call 
;D;15678;9f8736428d68ef86c654e1f0f0b1058e;write a report;make a report;FALSE;;write a report;write
30;A;2779;9a8edf1b84fcdd4e9692881d31a5a26e;scan the items for sale.;scan;FALSE;;scan them;scan
;A;4414;559a558cc071b904f807f21b428370da;do their best to complete the transaction quickly and accurately.;;FALSE;;do their best;complete
;A;8498;6df37ff0405e34325f86235ab8e45b66;scan them;scan;FALSE;;;scan
