id;Item;Condition;Group;Context;Sentence;Target;Question;QuestionCorrect;Left;Right;IsQuestion
212;55;B;4;The red engine light in the car had come on.;The mechanic in the shop, because the engine broke down, had to;repair;Had the red engine light in the car come on?;Yes;No;Yes;yes
252;55;C;1;The red engine light in the car had come on.;Because the engine broke down, the mechanic on the street had to;stop;Had the red engine light in the car come on?;Yes;No;Yes;yes
315;55;D;2;The red engine light in the car had come on.;The mechanic on the street, because the engine broke down, had to;stop;Had the red engine light in the car come on?;Yes;No;Yes;yes
68;56;A;4;A terrorist attack in the city center happened.;As the photographer arrives, the journalist in front of the camera will;report;;;No;Yes;no
101;56;B;1;A terrorist attack in the city center happened.;The journalist in front of the camera, as the photographer arrives, will;report;;;No;Yes;no
128;56;C;2;A terrorist attack in the city center happened.;As the photographer arrives, the journalist behind the counter will;order;;;No;Yes;no
210;56;D;3;A terrorist attack in the city center happened.;The journalist behind the counter, as the photographer arrives, will;order;;;No;Yes;no
17;57;A;1;The newly wedded couple started building their house.;After meeting with the couple about the blueprint ideas, the architect in his office starts to ;design;;;No;Yes;no
22;57;B;2;The newly wedded couple started building their house.;The architect in his office, after meeting with the couple about the blueprint ideas, had to;design;;;No;Yes;no
148;57;C;3;The newly wedded couple started building their house.;After meeting with the couple about the blueprint ideas, the architect in the kitchen had to ;eat;;;No;Yes;no
233;57;D;4;The newly wedded couple started building their house.;The architect in the kitchen, after meeting with the couple about the blueprint ideas, had to;eat;;;No;Yes;no
64;58;A;2;There is a big event in the city tonight.;As one of the performers got sick at the last minute, the choreographer on stage had to;dance;Did the performer get sick at the last minute?;Yes;No;Yes;yes
76;58;B;3;There is a big event in the city tonight.;The choreographer on stage, as one of the performers got sick at the last minute, had to;dance;Did the performer get sick at the last minute?;Yes;No;Yes;yes
266;58;C;4;There is a big event in the city tonight.;As one of the performers got sick at the last minute, the choreographer in the dressing room had to;dress up;Did the performer get sick at the last minute?;Yes;No;Yes;yes
287;58;D;1;There is a big event in the city tonight.;The choreographer in the dressing room, as one of the performers got sick at the last minute, had to;dress up;Did the performer get sick at the last minute?;Yes;No;Yes;yes
28;59;A;3;Athletes were managing their daily routines during training.;After the schedule was announced, the athlete in the stadium must;train;Was the schedule announced?;Yes;No;Yes;yes
90;59;B;4;Athletes were managing their daily routines during training.;The athlete in the stadium, after the schedule was announced, must;train;Was the schedule announced?;Yes;No;Yes;yes
204;59;C;1;Athletes were managing their daily routines during training.;After the schedule was announced, the athlete in the kitchen must;cook;Was the schedule announced?;Yes;No;Yes;yes
226;59;D;2;Athletes were managing their daily routines during training.;The athlete in the kitchen, after the schedule was announced, must;cook;Was the schedule announced?;Yes;No;Yes;yes
173;60;A;4;The company is trying to expand in many different countries.;As the marketing department prepares some campaigns for their products, the salesman in the store has to;advertise;;;No;Yes;no
174;60;B;1;The company is trying to expand in many different countries.;The salesman in the store, as the marketing department prepares some campaigns for their products, has to;advertise;;;No;Yes;no
243;60;C;2;The company is trying to expand in many different countries.;As the marketing department prepares some campaigns for their products, the salesman in the hotel room has to;relax;;;No;Yes;no
257;60;D;3;The company is trying to expand in many different countries.;The salesman in the hotel room, as the marketing department prepares some campaigns for their products, has to;relax;;;No;Yes;no
23;61;A;1;The publisher needs to make more sales in the next few months.;After being notified that the new book needs to be published soon, the author in his office, should;write;Does the publisher need to make fewer sales in the next few months?;No;No;Yes;yes
70;61;B;2;The publisher needs to make more sales in the next few months.;The author in his office, after being notified that the new book needs to be published soon, should;write;Does the publisher need to make fewer sales in the next few months?;No;No;Yes;yes
151;61;C;3;The publisher needs to make more sales in the next few months.;After being notified that the new book needs to be published soon, the author in the restaurant should;order;Does the publisher need to make fewer sales in the next few months?;No;No;Yes;yes
311;61;D;4;The publisher needs to make more sales in the next few months.;The author in the restaurant, after being notified that the new book needs to be published soon, should;order;Does the publisher need to make fewer sales in the next few months?;No;No;Yes;yes
1;62;A;2;This illness is very rare.;As the patient was getting sicker and sicker, the doctor in the hospital had to;operate;Was the patient getting sicker?;Yes;No;Yes;yes
13;62;B;3;This illness is very rare.;The doctor in the hospital, as the patient was getting sicker and sicker, had to;operate;Was the patient getting sicker?;Yes;No;Yes;yes
99;62;C;4;This illness is very rare.;As the patient was getting sicker and sicker, the doctor in the car had to;drive;Was the patient getting sicker?;Yes;No;Yes;yes
137;62;D;1;This illness is very rare.;The doctor in the car, as the patient was getting sicker and sicker, had to;drive;Was the patient getting sicker?;Yes;No;Yes;yes
84;63;A;3;The European Parliament voted for the new law. ;Since all countries need to implement the new law, the translator in his office had to;translate;Do all countries need to implement the new law?;Yes;No;Yes;yes
114;63;B;4;The European Parliament voted for the new law. ;The translator in his office, since all countries need to implement the new law, had to;translate;Do all countries need to implement the new law?;Yes;No;Yes;yes
234;63;C;1;The European Parliament voted for the new law. ;Since all countries need to implement the new law, the translator in the bathroom had to;freshen up;Do all countries need to implement the new law?;Yes;No;Yes;yes
309;63;D;2;The European Parliament voted for the new law. ;The translator in the bathroom, since all countries need to implement the new law, had to;freshen up;Do all countries need to implement the new law?;Yes;No;Yes;yes
37;64;A;4;Farmers were busy with seasonal activities as spring was approaching.;As the weather is still good and it hasn't been raining, the farmer in the tractor must;drive;Is winter approaching?;No;No;Yes;yes
72;64;B;1;Farmers were busy with seasonal activities as spring was approaching.;The farmer in the tractor, as the weather is still good and it hasn't been raining, must;drive;Is winter approaching?;No;No;Yes;yes
79;64;C;2;Farmers were busy with seasonal activities as spring was approaching.;As the weather is still good and it hasn't been raining, the farmer at the counter must;pay;Is winter approaching?;No;No;Yes;yes
217;64;D;3;Farmers were busy with seasonal activities as spring was approaching.;The farmer at the counter, as the weather is still good and it hasn't been raining, must;pay;Is winter approaching?;No;No;Yes;yes
241;65;A;1;There is some turbulence during the flight.;As the passengers are quite distressed, the flight attendant in the cabin must;assist;;;No;Yes;no
244;65;B;2;There is some turbulence during the flight.;The flight attendant in the cabin, as the passengers are quite distressed, must;assist;;;No;Yes;no
268;65;C;3;There is some turbulence during the flight.;As the passengers are quite distressed, the flight attendant in the bathroom must;return;;;No;Yes;no
308;65;D;4;There is some turbulence during the flight.;The flight attendant in the bathroom, as the passengers are quite distressed, must;return;;;No;Yes;no
20;66;A;2;Many clients came to the restaurant without reservation.;As the restaurant was busy and there was some waiting time, the hostess at the door should;apologize;Did many clients come to the restaurant with reservations?;No;No;Yes;yes
176;66;B;3;Many clients came to the restaurant without reservation.;The hostess at the door, as the restaurant was busy and there was some waiting time, should;apologize;Did many clients come to the restaurant with reservations?;No;No;Yes;yes
253;66;C;4;Many clients came to the restaurant without reservation.;As the restaurant was busy and there was some waiting time, the hostess behind the bar should;serve;Did many clients come to the restaurant with reservations?;No;No;Yes;yes
296;66;D;1;Many clients came to the restaurant without reservation.;The hostess behind the bar, as the restaurant was busy and there was some waiting time, should;serve;Did many clients come to the restaurant with reservations?;No;No;Yes;yes
124;67;A;3;Behind the scenes, the models were rushing through final preparations for Paris Fashion Week.;As people were seated and the show started, the model on the catwalk had to;pose;Is Fashion Week happening in New York?;No;No;Yes;yes
126;67;B;4;Behind the scenes, the models were rushing through final preparations for Paris Fashion Week.;The model on the catwalk, as people were seated and the show started, had to;pose;Is Fashion Week happening in New York?;No;No;Yes;yes
213;67;C;1;Behind the scenes, the models were rushing through final preparations for Paris Fashion Week.;As people were seated and the show started, the model in the bathroom had to;shower;Is Fashion Week happening in New York?;No;No;Yes;yes
251;67;D;2;Behind the scenes, the models were rushing through final preparations for Paris Fashion Week.;The model in the bathroom, as people were seated and the show started, had to;shower;Is Fashion Week happening in New York?;No;No;Yes;yes
92;68;A;4;The elections are approaching.;As the interviews with the politicians are completed, the journalist in his office must;write;Are the interviews with the politicians completed?;Yes;No;Yes;yes
104;68;B;1;The elections are approaching.;The journalist in his office, as the interviews with the politicians are completed, must;write;Are the interviews with the politicians completed?;Yes;No;Yes;yes
227;68;C;2;The elections are approaching.;As the interviews with the politicians are completed, the journalist on the street must;walk;Are the interviews with the politicians completed?;Yes;No;Yes;yes
291;68;D;3;The elections are approaching.;The journalist on the street, as the interviews with the politicians are completed, must;walk;Are the interviews with the politicians completed?;Yes;No;Yes;yes
77;69;A;1;Event staff were managing various responsibilities before the celebration.;While the preparations are in progress and the time is approaching, the hotel manager in the ballroom must;supervise;Have the preparations already done?;No;No;Yes;yes
121;69;B;2;Event staff were managing various responsibilities before the celebration.;The hotel manager in the ballroom, while the preparations are in progress and the time is approaching, must;supervise;Have the preparations already done?;No;No;Yes;yes
175;69;C;3;Event staff were managing various responsibilities before the celebration.;While the preparations are in progress and the time is approaching, the hotel manager on the sailing boat must;sail;Have the preparations already done?;No;No;Yes;yes
285;69;D;4;Event staff were managing various responsibilities before the celebration.;The hotel manager on the sailing boat, while the preparations are in progress and the time is approaching, must;sail;Have the preparations already done?;No;No;Yes;yes
10;70;A;2;One of the biggest European conferences is taking place.;While talks in all European languages are held, the interpreter in the booth must;interpret;;;No;Yes;no
38;70;B;3;One of the biggest European conferences is taking place.;The interpreter in the booth, while talks in all European languages are held, must;interpret;;;No;Yes;no
100;70;C;4;One of the biggest European conferences is taking place.;While talks in all European languages are held, the interpreter in her hotel room must;rest;;;No;Yes;no
298;70;D;1;One of the biggest European conferences is taking place.;The interpreter in her hotel room, while talks in all European languages are held, must;rest;;;No;Yes;no
11;71;A;3;The construction of the new house is ready.;As the blueprints for the electricity are prepared, the electrician at the construction site has to;install;Is the construction of the new house ready?;Yes;No;Yes;yes
65;71;B;4;The construction of the new house is ready.;The electrician at the construction site, as the blueprints for the electricity are prepared, has to;install;Is the construction of the new house ready?;Yes;No;Yes;yes
118;71;C;1;The construction of the new house is ready.;As the blueprints for the electricity are prepared, the electrician in the store has to;shop;Is the construction of the new house ready?;Yes;No;Yes;yes
196;71;D;2;The construction of the new house is ready.;The electrician in the store, as the blueprints for the electricity are prepared, has to;shop;Is the construction of the new house ready?;Yes;No;Yes;yes
2;72;A;4;A homicide happened.;As the victim's wife wanted to know more about what happened, the detective at the crime scene must;investigate;Did the homicide happen?;Yes;No;Yes;yes
163;72;B;1;A homicide happened.;The detective at the crime scene, as the victim's wife wanted to know more about what happened, must;investigate;Did the homicide happen?;Yes;No;Yes;yes
200;72;C;2;A homicide happened.;As the victim's wife wanted to know more about what happened, the detective at the car wash must;return;Did the homicide happen?;Yes;No;Yes;yes
229;72;D;3;A homicide happened.;The detective at the car wash, as the victim's wife wanted to know more about what happened, must;return;Did the homicide happen?;Yes;No;Yes;yes
94;73;A;1;The economy seems to be improving.;As the timing seems appropriate to take more risks, the banker in the bank must;invest;Does the timing seem inappropriate to take more risks?;No;No;Yes;yes
131;73;B;2;The economy seems to be improving.;The banker in the bank, as the timing seems appropriate to take more risks, must;invest;Does the timing seem inappropriate to take more risks?;No;No;Yes;yes
219;73;C;3;The economy seems to be improving.;As the timing seems appropriate to take more risks, the banker in the conference room must;present;Does the timing seem inappropriate to take more risks?;No;No;Yes;yes
250;73;D;4;The economy seems to be improving.;The banker in the conference room, as the timing seems appropriate to take more risks, must;present;Does the timing seem inappropriate to take more risks?;No;No;Yes;yes
209;74;A;2;The gallery made a new contract with a new artist.;After arranging all the details for next month's installation, the artist in his studio must;paint;;;No;Yes;no
216;74;B;3;The gallery made a new contract with a new artist.;The artist in his studio, after arranging all the details for next month's installation, must;paint;;;No;Yes;no
223;74;C;4;The gallery made a new contract with a new artist.;After arranging all the details for next month's installation, the artist in his bed must;sleep;;;No;Yes;no
280;74;D;1;The gallery made a new contract with a new artist.;The artist in his bed, after arranging all the details for next month's installation, must;sleep;;;No;Yes;no
47;75;A;3;The astronomers were balancing work and leisure activities.;As the sky was clear and the weather was good, the astronomer at the telescope must;observe;Was the weather bad?;No;No;Yes;yes
168;75;B;4;The astronomers were balancing work and leisure activities.;The astronomer at the telescope, as the sky was clear and the weather was good, must;observe;Was the weather bad?;No;No;Yes;yes
171;75;C;1;The astronomers were balancing work and leisure activities.;As the sky was clear and the weather was good, the astronomer at the beach must;relax;Was the weather bad?;No;No;Yes;yes
214;75;D;2;The astronomers were balancing work and leisure activities.;The astronomer at the beach, as the sky was clear and the weather was good, must;relax;Was the weather bad?;No;No;Yes;yes
14;76;A;4;The company proceeded with some acquisitions.;As the company needs some guidance on its workflows, the consultant in the meeting room should;consult;;;No;Yes;no
19;76;B;1;The company proceeded with some acquisitions.;The consultant in the meeting room, as the company needs some guidance on its workflows, should;consult;;;No;Yes;no
145;76;C;2;The company proceeded with some acquisitions.;As the company needs some guidance on its workflows, the consultant in the library should;study;;;No;Yes;no
316;76;D;3;The company proceeded with some acquisitions.;The consultant in the library, as the company needs some guidance on its workflows, should;study;;;No;Yes;no
80;77;A;1;The fishing season was in full swing.;As the weather is good and the sea is calm, the fisherman in the boat must;fish;Is the sea rough?;No;No;Yes;yes
133;77;B;2;The fishing season was in full swing.;The fisherman in the boat, as the weather is good and the sea is calm, must;fish;Is the sea rough?;No;No;Yes;yes
220;77;C;3;The fishing season was in full swing.;As the weather is good and the sea is calm, the fisherman at the dock must;prepare;Is the sea rough?;No;No;Yes;yes
310;77;D;4;The fishing season was in full swing.;The fisherman at the dock, as the weather is good and the sea is calm, must;prepare;Is the sea rough?;No;No;Yes;yes
78;78;A;2;The hairdressers are working today.;Because the girl hates her long hair, the hairdresser in the hair salon has to;cut;Does the girl like her long hair?;No;No;Yes;yes
192;78;B;3;The hairdressers are working today.;The hairdresser in the hair salon, because the girl hates her long hair, has to;cut;Does the girl like her long hair?;No;No;Yes;yes
254;78;C;4;The hairdressers are working today.;Because the girl hates her long hair, the hairdresser in the waiting room has to;wait;Does the girl like her long hair?;No;No;Yes;yes
264;78;D;1;The hairdressers are working today.;The hairdresser in the waiting room, because the girl hates her long hair, has to;wait;Does the girl like her long hair?;No;No;Yes;yes
103;79;A;3;The doctor prescribed some medicine.;While the patient needs to take her medicine, the pharmacist in the lab must;work;;;No;Yes;no
198;79;B;4;The doctor prescribed some medicine.;The pharmacist in the lab, while the patient needs to take her medicine, must;work;;;No;Yes;no
203;79;C;1;The doctor prescribed some medicine.;While the patient needs to take her medicine, the pharmacist at the computer must;order it;;;No;Yes;no
290;79;D;2;The doctor prescribed some medicine.;The pharmacist at the computer, while the patient needs to take her medicine, must;order it;;;No;Yes;no
15;80;A;4;A terrible car accident happened.;As there were some victims due to the accident, the paramedics at the scene must;help;;;No;Yes;no
188;80;B;1;A terrible car accident happened.;The paramedics at the scene, as there were some victims due to the accident, must;help;;;No;Yes;no
270;80;C;2;A terrible car accident happened.;As there were some victims due to the accident, the paramedics in the elevator must;get out;;;No;Yes;no
294;80;D;3;A terrible car accident happened.;The paramedics in the elevator, as there were some victims due to the accident, must;get out;;;No;Yes;no
